"Timestamp","How old are you?","How often do you travel?","Do you prefer booking a tour from a travel agency or planning your own?","Do you usually have problem in team engagement for trip preparation?","From your own travel experience, can you rate financial problem? (1 for easiest - 5 for the toughest)","From your own travel experience, can you rate schedule/itinerary problem?","Which other problems do you usually cope with before  or during any trip?","Please name 3 tools you usually use to plan your trip"
"2016/04/04 5:17:10 pm GMT+7","18-25 years old","Once or twice a year","I prefer building my own tour","Yes","4","5","",""
"2016/04/04 5:21:28 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","No","1","1","",""
"2016/04/04 5:21:40 pm GMT+7","18-25 years old","I just want to stay at home","I prefer building my own tour","Yes","3","4","","Infformation from wrbsite, facebook question poll, paper"
"2016/04/04 5:29:04 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","2","4","","Google"
"2016/04/04 5:30:19 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","4","4","",""
"2016/04/04 5:32:55 pm GMT+7","25-30 years old","I will go whenever I have chance","I prefer building my own tour","No","3","3","","booking, google"
"2016/04/04 5:33:21 pm GMT+7","18-25 years old","I just want to stay at home","I prefer building my own tour","No","1","1","Car sick; exhausted of long-distance traveling","(None)"
"2016/04/04 5:36:53 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","4","5","",""
"2016/04/04 5:37:58 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","5","4","All problems is finance",""
"2016/04/04 5:38:59 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","No","4","3","","agoda"
"2016/04/04 6:01:41 pm GMT+7","18-25 years old","I just want to stay at home","A tour from a travel agency","No","4","4","","Paper, pen, calculator"
"2016/04/04 6:24:06 pm GMT+7","18-25 years old","Once or twice a year","A tour from a travel agency","No","3","3","chi phi ","quan ao, dien thoai, phuong tien"
"2016/04/04 6:27:28 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","5","3","","Knife, camera, bag"
"2016/04/04 7:18:34 pm GMT+7","Over 30","Once or twice a year","I prefer building my own tour","No","3","3","language barrier","the website of the airplane company"
"2016/04/04 7:19:12 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","3","2","Safety",""
"2016/04/04 9:03:38 pm GMT+7","18-25 years old","I will go whenever I have chance","I prefer building my own tour","Yes","3","4","traveling stuff","tripadvisor, http://www.phuot.vn/"
"2016/04/05 9:34:11 am GMT+7","26-30 years old","I will go whenever I have chance","I prefer building my own tour","Yes","3","3","","packpoint, foody, diadiemanuong"
